"","headline","url"
"1","
                        20:39
                         Ситник прокоментував можливе відсторонення згаданих у Bihus.info працівників НАБУ
                    ","/rubric-polytics/2658981-sitnik-prokomentuvav-mozlive-vidstoronenna-zgadanih-u-bihusinfo-pracivnikiv-nabu.html"
"2","
                        20:34
                         У роботі Facebook та Instagram стався збій
                    ","/rubric-technology/2658978-u-roboti-facebook-ta-instagram-stavsa-zbij.html"
"3","
                        20:28
                          Фото  Рідні українських моряків в ООН: життя поділилося на “до” та “після”
                    ","/rubric-crimea/2658971-ridni-ukrainskih-morakiv-v-oon-zitta-podililosa-na-do-ta-pisla.html"
"4","
                        20:04
                         Окупанти обстріляли Авдіївку та Мар’їнку, поранені двоє бійців ЗСУ
                    ","/rubric-ato/2658961-okupanti-obstrilali-avdiivku-ta-marinku-poraneni-dvoe-bijciv-zsu.html"
"5","
                        19:53
                          Оновлено  Прокуратура висунула проти Манафорта нові звинувачення
                    ","/rubric-world/2658956-prokuratura-visunula-proti-manaforta-novi-zvinuvacenna.html"
"6","
                        19:47
                         ДБР перевіряє інформацію про підготовку замаху на Білецького
                    ","/rubric-polytics/2658952-dbr-perevirae-informaciu-pro-pidgotovku-zamahu-na-bileckogo.html"
"7","
                        19:33
                         Схеми в оборонці: Холодницький каже, що доля переданих до НАБУ 87 аркушів - невідома
                    ","/rubric-polytics/2658943-shemi-v-oboronci-holodnickij-kaze-so-dola-peredanih-do-nabu-87-arkusiv-nevidoma.html"
"8","
                        19:23
                         Boeing може втратити $57 мільярдів після авіакатастрофи в Ефіопії
                    ","/rubric-world/2658937-boeing-moze-vtratiti-57-milardiv-pisla-aviakatastrofi-v-efiopii.html"
"9","
                        19:20
                         Військова прокуратура не знайшла доказів передачі хабаря посадовцям МОУ
                    ","/rubric-society/2658934-vijskova-prokuratura-ne-znajsla-dokaziv-peredaci-habara-posadovcam-mou.html"
"10","
                        19:11
                         Балуху нарешті змогли передати продукти і теплі черевики
                    ","/rubric-crimea/2658924-baluhu-naresti-zmogli-peredati-produkti-i-tepli-cereviki.html"
"11","
                        19:10
                         САП відкрила справу після першої ж серії розслідування Bihus.Info - Холодницький
                    ","/rubric-polytics/2658929-holodnickij-kaze-so-sap-vidkrila-spravu-pisla-persoi-z-serii-rozsliduvanna-bihusinfo.html"
"12","
                        19:07
                         До торгів в Україні допустили облігації уряду США та акції Apple
                    ","/rubric-economy/2658919-do-torgiv-v-ukraini-dopustili-obligacii-uradu-ssa-ta-akcii-apple.html"
"13","
                        18:47
                         ГПУ поверне САП подання на депутатів Скуратовського і Дзензерського
                    ","/rubric-society/2658915-gpu-poverne-sap-podanna-na-skuratovskogo-i-dzenzerskogo.html"
"14","
                        18:43
                         Укроборонпром заявляє, що співпрацю з фірмою Рогози припинив ще у 2017 році
                    ","/rubric-polytics/2658908-ukroboronprom-zaavlae-so-spivpracu-z-firmou-rogozi-pripiniv-se-u-2017-roci.html"
"15","
                        18:37
                          Документ  Наглядова рада Нафтогазу пропонує продовжити контракт із Коболєвим
                    ","/rubric-economy/2658901-nagladova-rada-naftogazu-proponue-prodovziti-kontrakt-iz-kobolevim-zmi.html"
